title,yearReleased,runtimeinmins,genre,rating
Aurora,2018,110,"Horror, Thriller            ",4.3
Autohystoria,2007,95,Drama            ,6.3
AWOL,2017,75,"Action, Thriller            ",5.8
"Awra: Taong mapanira, isip ay sira!",2015,72,"Drama, Thriller            ",7.2
Ayaw matulog ng gabi,1990,110,"Action, Drama, Romance            ",5.6
Ayos na... ang kasunod,2000,105,"Action, Comedy            ",7.9
Ayuda Babes,2021,91,Comedy            ,6.3
Azucena,2000,118,Drama            ,7.6
Babae at baril,2019,80,"Action, Crime, Thriller            ",5.8
Babae sa breakwater,2003,124,Drama            ,7.4
Babae sa bubungang lata,1998,103,Drama            ,7.3
Babagwa,2013,101,Drama            ,7.1
Babangluksa,2011,64,"Horror, Thriller            ",4.7
Babangon ang huling patak ng dugo,1997,62,"Action, Drama            ",8.8
"Babe, I Love You",2010,101,"Drama, Romance            ",6.5
Baboy halas,2016,105,Drama            ,7.5
Baby Love,1995,90,"Drama, Romance            ",7.4
Baby Tsina,1984,110,Drama            ,8.2
Bacao,2018,85,Horror            ,7.9
Back Door to Hell,1964,75,"Drama, War            ",5.2
Baconaua,2017,93,Drama            ,5.7
Bad bananas sa puting tabing,1983,132,"Adventure, Comedy            ",7.2
Bad Boy,1990,117,"Action, Drama            ",6.1
Bad Romance,2013,100,"Drama, Romance, Thriller            ",4.8
Badil,2013,100,Drama            ,7.9
Badjao,1957,105,"Action, Adventure, Drama            ",6.4
Bagahe,2017,90,Drama            ,6.4
Bagansya,2001,110,Action            ,8.2
Bagets,1984,90,"Comedy, Drama, Romance            ",7.3
Bagets 2,1984,130,"Comedy, Drama            ",7.2
Bagong buwan,2001,130,"Action, Drama, War            ",6.9
Bahay bata,2011,94,Drama            ,7.0
Bahay kubo: A Pinoy mano po!,2007,130,"Comedy, Drama            ",7.6
Bahay na pula,2022,102,Horror            ,6.9
Bahay ni Lola,2001,92,"Comedy, Horror, Thriller            ",6.0
Bahay ni Lola 2,2005,95,Horror            ,5.7
Bahid,2002,105,Drama            ,7.2
Baka bukas,2016,84,Drama            ,6.2
Baka siguro yata,2015,105,"Comedy, Romance            ",7.9
Bakal Boys,2009,93,Drama            ,7.3
Bakat,2002,100,Drama            ,5.4
"Bakit ba ganyan? (Ewan ko nga ba, Darling)",2000,106,Comedy            ,6.9
Bakit 'di totohanin,2001,106,"Comedy, Drama, Family            ",7.6
Bakit dilaw ang gitna ng bahag-hari?,1994,170,"Documentary, History            ",7.7
Bakit hindi ka crush ng crush mo?,2013,100,"Comedy, Drama, Romance            ",6.4
Bakit lahat ng gwapo may boyfriend?!,2016,103,Comedy            ,6.0
Bakit may kahapon pa?,1996,109,"Action, Drama, Thriller            ",7.9
Bakit may pag-ibig pa?,1979,114,"Drama, Romance            ",9.0
Bakit papa?,2002,90,Comedy            ,6.8
