title,yearReleased,runtimeinmins,genre,rating
Kalayaan,2012,115,Drama            ,6.5
Kaleidoscope World,2013,123,"Drama, Family, Musical            ",6.9
"Kalel, 15",2019,105,Drama            ,7.2
Kaleldo,2006,95,Drama            ,6.5
Kaliwaan,2022,111,Drama            ,7.3
Kamakalawa,1981,119,"Action, Adventure, Fantasy            ",5.5
Kamandag ng droga,2017,126,"Action, Crime, Drama            ",5.0
Kambyo,2008,102,Drama            ,4.8
Kamera obskura,2012,83,Drama            ,7.3
Kamoteng kahoy,2009,97,Drama            ,8.6
Kangkong,2001,101,Comedy            ,7.4
Kano: An American and His Harem,2010,79,Documentary            ,6.9
KapÃ¡,2012,100,Drama            ,7.8
Kapag buhay ang inutang,1983,120,Action            ,6.4
Kapag langit ang humatol,1990,125,Drama            ,8.3
"Kapag tumibok ang puso: Not once, but twice",2006,110,"Comedy, Romance            ",4.8
Kapatiran,2015,72,"Documentary, Drama            ",7.3
Kape barako,2011,85,Comedy            ,6.8
Kaputol ng isang awit,1991,109,"Drama, Musical            ",6.4
Karma,1981,102,Drama            ,8.6
Karnal,1983,123,Drama            ,7.1
Kasal,2014,111,"Drama, Family            ",7.0
Kasal,2018,115,Drama            ,7.5
"Kasal, kasali, kasalo",2006,100,"Comedy, Romance            ",6.8
Kasibulan,2001,106,Drama            ,7.8
Kasiping,2002,101,"Romance, Comedy, Drama            ",4.0
Katas ng Saudi,2007,100,"Comedy, Drama            ",6.2
Katayan,2000,108,Action            ,7.1
Kaulayaw,2002,100,Drama            ,7.7
Keka,2003,93,"Action, Comedy, Romance            ",7.1
Kesong puti,1999,92,Drama            ,7.3
Kid Kulafu,2015,109,"Biography, Drama, Sport            ",6.7
Kiko Boksingero,2017,79,Drama            ,8.1
Kiko en Lala,2019,96,Comedy            ,3.9
Kilabot at kembot,2002,75,Action            ,6.6
Kill Squad,1982,85,"Action, Drama            ",4.9
Kill Zone,1993,81,"Action, War            ",4.1
Killer Instinct,1987,88,"Action, Drama, War            ",4.4
Kimmy Dora and the Temple of Kiyeme,2012,105,"Comedy, Horror            ",6.3
Kimmy Dora: Ang kiyemeng prequel,2013,97,Comedy            ,5.9
Kimmy Dora: Kambal sa kiyeme,2009,105,"Comedy, Romance            ",7.0
"Kinsenas, katapusan",2022,90,Thriller            ,7.0
Kisapmata,1981,90,"Crime, Drama, Horror            ",7.8
Kislap sa dilim,1991,103,Drama            ,7.7
Kita kita,2017,84,"Comedy, Drama, Romance            ",7.5
K'na the Dreamweaver,2014,85,Drama            ,7.1
Kokey,1997,96,"Adventure, Family, Fantasy            ",5.9
KontrAdiksyon,2019,154,Action            ,4.0
Kontrobersyal,1981,116,Drama            ,7.0
Krus na kawayan,1956,130,Action            ,7.0
Kubot: The Aswang Chronicles 2,2014,105,"Action, Comedy, Horror            ",7.0
Kubrador,2006,98,Drama            ,6.7
Kulang sa dilig,1986,94,Drama            ,7.0
Kulay dugo ang gabi,1964,88,Horror            ,5.3
Kumander Bawang,1988,105,"Action, Adventure, Comedy            ",7.7
Kun maupay man it panahon,2021,105,Drama            ,7.0
Kung ako na lang sana,2003,115,"Romance, Comedy            ",8.0
Kung Fu Divas,2013,115,"Action, Comedy            ",7.1
Kung mahawi man ang ulap,1984,110,Drama            ,7.7
Kung mangarap ka't magising,1977,112,"Drama, Music, Romance            ",7.4
Kung mawawala ka pa,1993,115,"Drama, Romance            ",7.0
Kung paano hinihintay ang dapithapon,2018,90,Drama            ,7.7
Kung paano siya nawala,2018,106,"Drama, Romance            ",6.7
Kurap,2008,70,Drama            ,4.9
Kusina,2016,120,Drama            ,4.0
Kusina Kings,2018,107,Comedy            ,5.8
Kutob,2005,110,"Horror, Thriller            ",5.9
Kuwaresma,2019,114,"Horror, Thriller            ",5.6
Kuya,2004,107,"Romance, Drama            ",7.1
Kuya Wes,2018,90,Drama            ,6.5
La corona spezzata,2014,114,"Action, Crime, Drama            ",6.2
La Vida Rosa,2001,113,"Crime, Drama, Romance            ",7.2
La visa loca,2005,105,Comedy            ,7.6
Lab kita... Bilib ka ba?,1994,123,"Action, Romance            ",8.2
Laban,2007,100,"Documentary, War            ",8.9
"Labs kita, Okey ka lang?",1998,105,"Comedy, Romance            ",7.3
Lafang,2014,76,Drama            ,6.4
Lagarista,2000,100,"Drama, Romance, Action            ",6.1
Lagot ka sa kuya ko,2006,107,Action            ,8.0
"Lagpas: Ikaw, ano'ng trip mo?",2010,90,Drama            ,6.6
Lahar,1996,92,Drama            ,6.2
"Lahi, hayop",2020,150,"Crime, Drama            ",6.3
Lakbayan,2018,118,Drama            ,6.6
Laman,2002,115,"Thriller, Drama            ",7.9
Lamat,2014,85,Drama            ,7.5
Lamog,2011,83,"Drama, Thriller            ",7.2
Lando at Bugoy,2016,85,Drama            ,7.2
Langis at tubig,1980,112,"Drama, Romance            ",7.8
Langit sa piling mo,1997,100,Romance            ,7.3
Lapu-Lapu,2002,125,"Action, Biography, History            ",6.1
"Largado, ibabalik kita sa pinanggalingan mo!",1999,100,Action            ,8.0
Laro sa baga,2000,118,Drama            ,7.3
Laruang lalake,2010,79,Drama            ,6.0
Last Days at Sea,2021,72,Documentary            ,6.2
Last Fool Show,2019,110,"Comedy, Romance            ",7.1
Last Night,2017,104,Drama            ,6.7
Last Stand at Lang Mei,1989,90,"Action, Adventure, War            ",5.4
Last Supper No. 3,2009,83,Drama            ,9.2
Lastikman,2003,105,"Action, Comedy, Fantasy            ",6.1
Lauriana,2013,120,Drama            ,7.6
Leon at Tigre,1991,104,Comedy            ,5.2
Leonor Will Never Die,2022,101,Drama            ,6.6
Let the Love Begin,2005,117,"Drama, Romance            ",5.7
Liberated,2003,104,Drama            ,5.5
Liberated 2,2004,97,"Comedy, Drama            ",6.4
Ligaya ang itawag mo sa akin,1997,105,Drama            ,7.2
"Ligo na Ã¼, lapit na me",2011,85,Drama            ,7.2
Lihim ni Madonna,1997,115,"Drama, Horror            ",6.4
Lihis,2013,100,Drama            ,7.8
Lila,2016,82,Horror            ,6.5
Lilay: Darling of the Crowd,2010,90,Drama            ,7.2
Lilet,1971,93,"Horror, Thriller            ",7.3
Lily,2016,93,Drama            ,7.3
"Lipa 'Arandia' Massacre: Lord, Deliver Us from Evil",1994,112,"Action, Crime, Drama            ",4.8
Little and Big Weapon,1990,101,"Action, Comedy            ",5.5
Little Boy Big Boy,2009,79,"Comedy, Drama            ",6.4
Little Boy Blue: Tiny Terrestrial,1991,98,"Family, Fantasy, Sci-Fi            ",5.3
Live by the Fist,1993,77,"Action, Crime, Drama            ",4.3
Live Show,2000,110,Drama            ,7.3
Liway,2018,100,Drama            ,8.3
Lockdown,2021,96,Drama            ,6.4
Lodi,2018,79,Drama            ,5.9
Lola Igna,2019,114,Drama            ,7.2
Looking for Andrew,2021,108,"Comedy, Drama            ",6.0
Lorna,2014,123,"Comedy, Romance            ",7.3
Love at First Stream,2021,110,"Comedy, Romance            ",8.4
Love Is Blind,2016,96,"Comedy, Romance            ",5.8
Love Is Color Blind,2021,115,"Comedy, Romance            ",6.1
Love Is...,2017,88,Drama            ,6.2
Love Lockdown,2020,70,"Romance, Thriller            ",6.8
Love Me Again (Land Down Under),2008,118,"Drama, Romance            ",6.0
Love Me Tomorrow,2016,128,"Comedy, Romance            ",6.0
Love Notes,1995,112,"Drama, Romance            ",8.0
Love or Money,2021,116,"Comedy, Drama, Romance            ",6.0
Love the Way U Lie,2020,99,"Comedy, Romance            ",5.7
Love You to the Stars and Back,2017,111,"Adventure, Comedy, Drama            ",7.3
Lovebirds,2008,96,"Comedy, Drama, Romance            ",5.6
Lovestruck,2005,111,"Comedy, Romance            ",7.1
Loving in Tandem,2017,108,"Comedy, Romance            ",6.4
Loving You,2008,115,"Comedy, Drama, Romance            ",5.6
LSS,2019,104,"Drama, Romance            ",7.2
Luck at First Sight,2017,95,"Comedy, Romance            ",7.6
Lukas nino,2013,83,Drama            ,6.0
Luksong tinik,1999,100,Drama            ,6.6
"Lumaban ka, Satanas",1983,90,"Action, Adventure, Fantasy            ",4.6
Lumayo ka nga sa akin,2016,129,Comedy            ,7.8
Lupe: A Seaman's Wife,2003,105,Drama            ,7.5
Luv Text,2001,104,"Comedy, Drama, Fantasy            ",6.9
Ma,2018,72,"Drama, Horror            ",5.6
Ma' Rosa,2016,110,Drama            ,6.9
MaÃ±anita,2019,143,"Action, Drama            ",5.1
Maalaala mo kaya,1991,90,"Drama, Romance            ",8.5
Mababangong Bangungot,1977,93,"Comedy, Drama            ",6.9
Machete II,1994,107,Drama            ,7.2
Machete: Istatwang buhay,1990,96,"Fantasy, Thriller            ",6.7
Macho Dancer,1988,136,Drama            ,6.5
Mad Doctor of Blood Island,1968,85,"Adventure, Horror, Sci-Fi            ",4.6
Mad Dog II,1983,89,Action            ,5.5
Mad Warrior,1984,75,"Action, Fantasy, Sci-Fi            ",4.1
Madame X,2000,105,Drama            ,4.5
Madilim ang gabi,2017,115,Drama            ,6.0
Madrasta,1996,120,Drama            ,7.8
Maestra,2017,100,Drama            ,8.1
Magic Kingdom: Ang alamat ng Damortis,1997,112,"Action, Adventure, Fantasy            ",6.9
Magic Temple,1996,106,"Fantasy, Action, Adventure            ",7.1
Magikland,2020,106,"Action, Adventure, Fantasy            ",6.0
Maging akin muli,2005,90,Drama            ,8.4
Mag-ingat ka sa... Kulam,2008,95,"Drama, Horror, Thriller            ",6.6
Magkapatid,2002,104,Drama            ,7.2
Magnifico,2003,122,Drama            ,7.9
Magnum Muslim .357,2014,140,"Action, Crime, Drama            ",5.4
Magtanggol,2016,143,Drama            ,7.7
"Mahal kita, walang iba",1992,110,"Comedy, Romance            ",5.3
Mahal kita: Final answer!,2002,114,"Comedy, Family, Romance            ",7.5
Maharlika,1970,86,"Action, War            ",3.3
Maharot,2005,84,Drama            ,5.9
Mahjong Nights,2021,111,Drama            ,5.7
Maicling pelicula naÃ±g ysaÃ±g Indio Nacional,2005,96,"Drama, History            ",6.5
Makiusap ka sa Diyos,1991,113,Drama            ,6.5
Malamaya,2019,80,"Drama, Romance            ",7.0
Malaya,2020,107,"Drama, Romance            ",7.7
Maledicto,2019,111,Horror            ,5.8
Maligno,1977,128,"Horror, Mystery, Thriller            ",6.4
Malikmata,2003,96,"Crime, Drama, Horror            ",6.6
Malvarosa,1958,101,Drama            ,8.4
Mamang,2018,90,Drama            ,7.8
Mamarazzi,2010,105,Comedy            ,5.7
Mama's Girl,2018,110,Drama            ,7.7
Mamay Umeng,2012,75,Drama            ,7.2
Mamu: And a Mother Too,2018,122,Comedy            ,7.7
Man & Wife,2019,112,"Drama, Romance            ",7.9
Mana,2014,105,"Drama, Fantasy, Horror            ",6.7
Manalo matalo mahal kita,1995,104,"Action, Comedy, Romance            ",8.0
"Mana-mana, tiba-tiba",2000,115,Comedy            ,5.7
Mananabas,2001,107,"Action, Thriller, War            ",5.1
Manananggal in Manila,1997,98,Horror            ,5.7
Manang Biring,2015,88,"Animation, Comedy, Drama            ",6.5
Manay po 2: Overload,2008,105,Comedy            ,6.0
Manay po!,2006,98,Comedy            ,5.9
Mang Jose,2021,90,"Action, Comedy            ",6.4
Mang Kepweng Returns,2017,120,"Action, Comedy, Fantasy            ",5.8
Mang Kepweng: Ang lihim ng bandanang itim,2020,101,"Comedy, Fantasy, Horror            ",8.4
Mangkukulob,2012,120,Horror            ,5.3
Manila,2009,85,Drama            ,6.2
Manila Boy,1993,119,"Action, Comedy, Crime            ",7.0
Manila in the Claws of Light,1975,123,"Drama, Mystery            ",7.8
Manila Kingpin: The Asiong Salonga Story,2011,145,"Action, Crime, Drama            ",6.4
"Manila, Open City",1968,86,"Drama, War            ",5.7
Manila's Finest,2015,95,"Action, Drama            ",4.6
Mano po,2002,110,Drama            ,6.4
Mano po 2: My home,2003,134,Drama            ,6.1
Mano po 6: A Mother's Love,2009,110,Drama            ,6.7
Mano po 7: Chinoy,2016,130,"Drama, Romance            ",7.1
Mano po III: My Love,2004,112,"Drama, Romance            ",6.0
Manong Gang,1991,113,"Action, Comedy            ",7.3
Manong konstru,2011,75,Drama            ,8.7
Manoro,2006,75,"Documentary, Drama            ",6.5
Mapanukso,2003,86,Drama            ,1.9
Mapusok,1998,120,"Crime, Drama            ",5.5
Maria,2019,90,"Action, Crime, Drama            ",5.0
Maria Labo,2015,97,"Drama, Horror            ",5.1
Maria Leonora Teresa,2014,103,"Drama, Horror, Thriller            ",6.3
Mariano Mison... NBI,1997,95,Action            ,8.5
Maricris Sioson: Japayuki,1993,102,"Crime, Drama            ",6.4
Mariquina,2014,116,Drama            ,7.3
Marital Rape,2001,110,"Crime, Drama            ",6.4
Markova: Comfort Gay,2000,97,"Biography, Drama, History            ",6.7
"Mary, Marry Me",2018,105,"Comedy, Drama, Family            ",6.6
Masahista,2005,76,Drama            ,5.9
Masamang damo,1996,102,Action            ,3.6
Masarap habang mainit,2000,85,"Comedy, Romance            ",5.6
Masikip mainit... paraisong parisukat,2002,100,Drama            ,6.3
Masikip sa dibdib: The Boobita Rose Story,2004,105,"Comedy, Musical            ",4.9
Matakot ka sa karma,2006,97,Horror            ,6.0
Matalino man ang matsing naiisahan din!,2000,104,"Action, Comedy            ",8.2
Matangtubig,2015,88,"Drama, Horror, Thriller            ",6.5
Mater Dolorosa,2012,87,Drama            ,7.2
Mauna ka... Susunod ako!,1997,115,"Action, Comedy            ",7.8
May minamahal,1993,118,Drama            ,7.7
May nagmamahal sa iyo,1996,121,Drama            ,8.1
Maynila sa mga pangil ng dilim,2008,72,Drama            ,4.7
Mayohan,2010,100,"Drama, Romance            ",6.7
Meant to Beh,2017,122,Comedy            ,3.7
Meet Me in St. Gallen,2018,94,"Drama, Romance            ",6.9
Melancholia,2008,450,Drama            ,7.3
Meng long bi hu xiao quan wang,1977,90,Action            ,4.4
Menor de Edad,2013,90,Drama            ,6.6
Mercury Is Mine,2016,97,Comedy            ,7.4
'Merika,1984,102,"Drama, Romance            ",7.7
Metamorphosis,2019,98,Drama            ,7.1
Mga anak ng unos,2014,143,Documentary            ,6.6
Mga anino ng kahapon,2013,85,"Drama, Family            ",4.8
Mga bilanggong birhen,1977,125,"Drama, Romance            ",7.2
Mga gabing kasinghaba ng hair ko,2017,72,Drama            ,6.9
Mga kuwentong barbero,2013,120,"Drama, History            ",8.0
Mga mata sa dilim,2019,91,"Action, Thriller            ",5.6
Mga mumunting lihim,2012,100,Drama            ,8.4
Mga munting tinig,2002,109,Drama            ,7.1
Mga pusang gala,2005,80,"Comedy, Drama, Fantasy            ",6.0
Mia,2020,91,"Drama, Romance            ",6.5
Midnight in a Perfect World,2020,91,"Horror, Sci-Fi, Thriller            ",5.6
Miguel/Michelle,1998,107,"Drama, Comedy            ",5.4
Miguelito: Batang rebelde,1985,116,"Action, Drama            ",7.2
Mila,2001,116,Drama            ,7.5
Milagros,1997,130,Drama            ,7.1
Milan,2004,131,"Romance, Drama            ",6.9
Milyonaryong mini,1996,90,"Comedy, Romance            ",7.9
Mina-anud,2019,145,"Comedy, Crime, Drama            ",7.8
Mindanao,2019,124,Drama            ,4.6
Minsan ko lang sasabihin,2000,115,"Action, Comedy, Romance            ",5.8
Minsan lang kitang iibigin,1994,90,"Drama, Romance            ",8.1
Minsan may isang puso,2001,90,Drama            ,7.7
Minsan pa: Kahit konting pagtingin Part 2,1995,128,"Action, Drama, Romance            ",6.6
"Minsan, minahal kita",2000,110,"Drama, Romance            ",8.1
Minsa'y isang gamu-gamo,1976,99,Drama            ,8.1
Miracle in Cell No. 7,2019,120,Drama            ,7.5
Misericordia: The Last Mystery of Kristo Vampiro,2013,70,Drama            ,5.5
Miss Bulalacao,2015,90,"Comedy, Drama, Fantasy            ",8.2
Miss Granny,2018,120,"Comedy, Fantasy, Music            ",7.0
Miss na miss kita (Utol kong hoodlum II),1992,94,"Action, Comedy, Drama            ",3.5
Miss You Like Crazy,2010,126,"Drama, Romance            ",5.6
Mission Unstapabol: The Don Identity,2019,109,Comedy            ,4.0
Mistah,1994,119,"Action, Drama, War            ",8.1
"Mister mo, lover ko",1999,111,Comedy            ,4.8
Misterio de la Noche,2019,100,"Fantasy, Horror            ",6.3
Misteryo sa tuwa,1984,122,"Drama, Thriller            ",7.8
ML,2018,90,Drama            ,8.0
Moises Platon,1988,115,"Action, Drama            ",7.1
Molata,1999,79,Drama            ,7.3
Moments of Love,2006,103,"Drama, Fantasy, Romance            ",7.7
Mommy Issues,2021,90,Comedy            ,5.4
MOMOL Nights,2019,86,"Comedy, Romance            ",6.9
Momshies! Ang soul mo'y akin!,2021,108,Comedy            ,5.8
Momzillas,2013,105,"Comedy, Romance            ",6.8
Mondomanila: Kung paano ko inayos ang buhok ko matapos ang mahaba-haba ring paglalakbay,2012,75,"Comedy, Horror, Musical            ",6.1
Moonlight Butterfly,2022,104,Drama            ,5.7
Moral,1982,140,Drama            ,7.5
More Than Blue,2021,113,Drama            ,8.6
Moreno,2007,81,Drama            ,4.6
Moro,1991,124,"Action, Drama            ",4.4
Moro Witch Doctor,1964,61,"Action, Drama            ",5.6
Moron 5 and the Crying Lady,2012,100,Comedy            ,5.4
Moron 5.2: The Transformation,2014,95,Comedy            ,4.8
Most Wanted,2000,102,"Action, Crime            ",7.7
Motel,2003,90,Drama            ,6.4
Motel Acacia,2019,92,Horror            ,3.5
Motherland,2017,94,Documentary            ,7.1
MotiV8tion,2016,79,Documentary            ,8.4
Movie in Action,1987,85,"Action, War            ",7.1
Mr. & Mrs. Cruz,2018,116,Drama            ,7.4
Mr. Suave: Hoy! Hoy! Hoy! Hoy! Hoy! Hoy!,2003,100,"Comedy, Romance            ",7.1
Ms. Kristina Moran: Babaeng palaban,1999,90,"Comedy, Romance            ",5.4
Mula sa kung ano ang noon,2014,338,Drama            ,7.7
Mulat,2014,73,Drama            ,8.0
Muli,2010,115,Drama            ,6.7
Muling buksan ang puso,1985,102,Drama            ,8.7
Multo in the City,1994,106,"Comedy, Horror, Thriller            ",5.8
Mumbaki,1996,130,"Action, Drama            ",7.6
Murder in the Orient,1974,73,"Action, Adventure, Crime            ",4.3
Murder on the Menu,1998,83,"Comedy, Thriller            ",7.0
Muro-ami,1999,114,"Adventure, Drama            ",7.0
Musmos na sumibol sa gubat ng digma,2018,105,Drama            ,6.3
Must Be... Love,2013,100,"Comedy, Romance            ",6.4
Must Date the Playboy,2015,127,"Comedy, Romance            ",6.4
Mutya ng Pasig,1950,90,Drama            ,6.2
My 2 Mommies,2018,102,Comedy            ,6.2
My Amanda,2021,89,"Drama, Romance            ",5.6
My Amnesia Girl,2010,110,Comedy            ,6.7
My Bakit List,2019,101,"Comedy, Romance            ",4.6
My Bebe Love: #KiligPaMore,2015,106,"Comedy, Romance            ",4.0
My Bestfriend's Girlfriend,2008,115,"Comedy, Drama, Romance            ",6.1
My Big Bossing,2014,125,Comedy            ,4.7
My Big Love,2008,110,"Drama, Romance            ",5.6
My Cactus Heart,2012,100,"Comedy, Romance            ",6.6
My Ex & Whys,2017,120,Drama            ,6.0
My Fairy Tail Love Story,2018,115,"Fantasy, Romance            ",7.4
My First Romance,2003,115,Romance            ,7.2
My Househusband: Ikaw na!,2011,110,Comedy            ,7.5
"My Husband, My Lover",2021,109,Drama            ,6.7
My Illegal Wife,2014,109,"Comedy, Romance            ",5.4
My Kontrabida Girl,2012,119,"Comedy, Romance            ",7.2
My Kuya's Wedding,2007,116,"Comedy, Romance            ",7.4
My Lady Boss,2013,106,"Comedy, Romance            ",6.6
My Letters to Happy,2019,108,Drama            ,9.5
My Little Bossings,2013,106,Comedy            ,2.7
My Lockdown Romance,2020,90,"Comedy, Romance            ",8.3
My Monster Mom,2008,98,Comedy            ,4.9
My Neighbor's Wife,2011,125,Drama            ,6.4
My Only Ã,2008,107,"Comedy, Drama, Romance            ",6.3
My Perfect You,2018,121,"Drama, Romance            ",6.8
My Rebound Girl,2016,110,"Comedy, Romance            ",6.9
My Valentine Girls,2011,147,"Action, Comedy, Drama            ",5.8
Mystified,2019,86,"Adventure, Fantasy            ",5.7
Mystrio (Uno... dos... tres pilyos!),1998,999,"Comedy, Drama            ",6.3
Nabubulok,2017,95,Drama            ,6.5
Nagalit ang buwan sa haba ng gabi,1983,122,Drama            ,7.5
Nagbabagang luha,1988,121,Drama            ,4.7
Nagmumurang kamatis,1997,103,Comedy            ,7.7
Nagsimula sa puso,1990,105,Drama            ,7.5
Nakagapos na puso,1986,127,Drama            ,6.8
Nakalimutan ko nang kalimutan ka,2018,99,Comedy            ,7.6
Nakaw na sandali,2004,90,"Drama, Romance            ",6.5
Nam Angels,1989,91,"Action, Adventure, War            ",4.9
Nandito ako... Nagmamahal sa 'yo,2009,110,"Drama, Romance            ",5.6
Nang gabing mamulat si Eba,1992,102,Romance            ,6.7
Napoleon Doble,1966,95,"Action, Comedy, Crime            ",5.3
Narco Dollar,1989,90,Action            ,4.0
Narinig mo na ba ang l8est?,2001,125,"Romance, Comedy            ",7.7
Nars,2007,80,Drama            ,8.2
Nasaan ka man,2005,107,"Drama, Romance, Thriller            ",7.7
Nasaan si Francis?,2006,83,Comedy            ,5.1
Nelia,2021,100,"Drama, Thriller            ",7.7
Nene,1998,106,Drama            ,7.5
Neomanila,2017,90,Crime            ,6.4
Nerisa,2021,106,Drama            ,7.2
Nervous Translation,2017,90,Drama            ,5.8
Never Not Love You,2018,100,"Drama, Romance            ",6.9
New Queer Visions: Seeing Is Believing,2020,94,Drama            ,7.6
Next Attraction,2008,90,Drama            ,5.0
Ngayon at kailanman,1992,99,"Drama, Romance            ",6.6
Ngayong nandito ka,2003,110,"Drama, Romance            ",5.4
NiÃ±o,2011,100,Drama            ,7.1
Night of the Cobra Woman,1972,85,"Horror, Thriller            ",4.1
Nights of Serafina,1996,95,Drama            ,7.5
Nightshift,2020,95,Horror            ,6.2
Nilalang,2015,90,"Action, Crime, Horror            ",4.3
Ninja Kids,1986,100,"Action, Adventure, Comedy            ",6.4
Ninja Party,2015,100,Drama            ,6.0
Ninja Warriors,1985,90,"Action, Horror            ",3.8
Ninja's Force,1984,94,"Adventure, Action            ",3.8
No Boyfriend Since Birth,2015,100,Romance            ,6.1
No Fear: The Manny Pacquiao Story,2004,92,"Documentary, Action, Sport            ",7.8
No Other Woman,2011,101,"Drama, Romance, Thriller            ",5.9
No pongso do tedted no mondo: Ang isla sa dulo ng mundo,2005,105,"Documentary, Drama            ",6.1
Noli me tÃ¡ngere,1961,180,"Action, Drama, Romance            ",7.3
Noon at ngayon,2003,125,"Comedy, Drama            ",6.9
"Norte, hangganan ng kasaysayan",2013,250,"Crime, Drama            ",7.5
Northern Lights: A Journey to Love,2017,98,Drama            ,6.6
Now Showing,2008,280,Drama            ,6.3
Noy,2010,104,Drama            ,6.7
Nunal sa tubig,1976,118,Drama            ,7.3
Nuuk,2019,108,"Drama, Thriller            ",7.1
Nuwebe,2013,90,Drama            ,7.5
Nympha,1980,139,Drama            ,6.6
Nympha,2003,109,Drama            ,6.5
Nympho,2012,84,Drama            ,4.4
Ober da bakod 2,1996,111,Comedy            ,5.2
Oda sa wala,2018,92,Drama            ,7.2
Of All the Things,2012,105,"Comedy, Romance            ",7.9
Of Sinners and Saints,2015,103,"Drama, Thriller            ",7.7
Oki Doki Doc,1996,111,Comedy            ,6.2
On the Job,2013,118,"Action, Crime, Drama            ",6.9
On the Job 2: The Missing 8,2021,208,"Action, Crime, Drama            ",7.6
"On Vodka, Beers, and Regrets",2020,94,"Drama, Romance            ",6.2
Once a Princess,2014,115,"Drama, Romance            ",4.6
One Great Love,2018,115,"Drama, Romance            ",6.8
One Man Army,1994,79,"Action, Crime            ",4.1
One More Chance,2007,115,"Drama, Romance            ",7.4
One More Try,2012,100,Drama            ,6.0
One Night Only,2008,98,Comedy            ,6.8
One Percent Full,2007,103,"Action, Comedy, Drama            ",6.2
One True Love,2008,147,"Drama, Mystery, Romance            ",6.9
Oo na... Mahal na kung mahal,1999,95,"Comedy, Romance, Drama            ",7.3
"Ooops, teka lang... Diskarte ko 'to!",2001,110,"Action, Comedy, Drama            ",8.7
Open,2019,105,"Drama, Romance            ",7.9
Operation Balikatan,2003,88,"Action, Drama, War            ",3.5
Orapronobis,1989,94,"Action, Crime, Drama            ",6.8
Oro,2016,110,"Crime, Drama, Thriller            ",4.7
"Oro, Plata, Mata",1982,194,"Drama, War            ",7.6
Otlum,2018,90,Horror            ,4.5
Ouija,2007,95,"Drama, Horror, Mystery            ",4.2
Our Mighty Yaya,2017,98,Comedy            ,6.9
Paano kita iibigin,2007,114,"Comedy, Drama, Romance            ",6.1
Paano na kaya,2010,110,"Drama, Romance            ",6.4
Pacquiao: The Movie,2006,109,"Action, Biography, Drama            ",5.4
Pagbabalik ng probinsyano,1998,123,"Drama, Action            ",6.8
Pagdating ng panahon,2001,115,"Comedy, Drama, Romance            ",7.9
Pagdating sa dulo,1971,117,"Comedy, Drama            ",7.3
Pag-ibig ko sa iyo'y totoo,1997,115,"Action, Comedy, Romance            ",6.0
"Paglaki ko, gusto kong maging pornstar",2021,92,Comedy            ,4.3
Paglipay,2016,98,Drama            ,8.7
Paglisan,2018,105,"Animation, Comedy, Drama            ",7.7
Pagnanasa,2010,81,Drama            ,6.3
Pagpag: Siyam na buhay,2013,105,Horror            ,5.4
Pagputi ng uwak... Pag-itim ng tagak,1978,150,"Drama, Romance            ",7.3
Pagsisiyasat sa gabing ayaw lumimot,2012,70,Documentary            ,5.3
Pahiram ng isang umaga,1989,119,Drama            ,7.3
Pailalim,2017,84,"Crime, Drama            ",7.2
Pak! Pak! My Dr. Kwak!,2011,115,"Comedy, Fantasy            ",6.3
Pakawalan mo ako,1981,90,Drama            ,8.5
Pakboys Takusa,2020,122,Comedy            ,7.3
Paki,2017,100,Drama            ,8.0
Pakisabi na lang... Mahal ko siya,2002,120,"Drama, Romance, Comedy            ",7.8
Pakners,2003,117,"Action, Comedy, Musical            ",7.2
Palaban,2000,105,"Action, Drama            ",6.1
Palabra de honor,1983,108,Drama            ,8.6
Palimos ng pag-ibig,1986,126,"Drama, Romance            ",7.3
Palitan,2012,85,Drama            ,7.6
Palitan,2021,107,Drama            ,6.7
Pamahiin,2006,100,"Horror, Thriller            ",5.7
Pamilya ordinaryo,2016,107,Drama            ,7.3
Pan de salawal,2018,102,Drama            ,8.4
PanaghÃ³y sa subÃ¢: The Call of the River,2004,120,"Romance, Drama, War            ",7.1
Pandanggo sa hukay,2019,99,Drama            ,7.0
Panday Kids,2010,99,"Action, Adventure, Family            ",7.7
Pangako ng kahapon,1994,137,"Crime, Drama, Romance            ",7.5
Pangako sa'yo,1992,92,"Action, Crime, Drama            ",2.7
Pangako... Ikaw lang,2001,100,"Romance, Drama            ",7.0
Pangarap ko ang ibigin ka,2003,103,"Comedy, Drama, Romance            ",6.9
Pangarap ng puso,2000,100,"Drama, Horror, Romance            ",7.1
Pansamantagal,2019,83,"Comedy, Romance            ",7.6
Pantasya,2007,90,Drama            ,5.1
Papa Pogi,2019,100,Comedy            ,6.8
Para sa broken hearted,2018,92,Drama            ,6.7
Para sa hopeless romantic,2015,105,"Comedy, Drama, Romance            ",5.4
Paradise Inn,1985,100,Drama            ,7.2
Paraiso,2005,72,Drama            ,8.1
Paraiso sa gubat,2005,83,Drama            ,4.9
Paraluman,2021,91,Drama            ,6.4
Pare ko,1995,119,"Drama, Romance            ",7.3
Parisukat,2010,75,"Drama, Thriller            ",4.5
Parola - Bilangguang walang rehas,2002,94,"Action, Drama, Romance            ",9.1
Partida,1985,96,Action            ,6.1
Pasan ko ang daigdig,1987,128,"Drama, Musical, Romance            ",7.0
Pa-siyam,2004,112,"Horror, Drama, Mystery            ",6.6
Past Tense,2014,121,"Comedy, Romance            ",6.8
Patay na si Hesus,2016,90,Comedy            ,7.2
